,words,phone,phone_order,wordnum,start_s,end_s,audibility,ids,filename
5433,dringend,r,17,4,1.5171201814058957,1.6070975056689343,0.038411458333333336,097,097.csv
5434,dringend,ɪ,18,4,1.6071201814058957,1.6570975056689343,0.18191964285714285,097,097.csv
5435,dringend,ŋ,19,4,1.6571201814058958,1.7370975056689342,0.1921875,097,097.csv
5436,dringend,ə,20,4,1.7371201814058956,1.7870975056689342,0.6283482142857143,097,097.csv
5437,dringend,n,21,4,1.7871201814058957,1.8770975056689343,0.19401041666666666,097,097.csv
5438,dringend,t,22,4,1.8771201814058958,1.9070975056689343,0.01953125,097,097.csv
5439,Bäder,b,23,5,1.9571201814058956,2.007097505668934,0.07477678571428571,097,097.csv
5440,Bäder,ɛː,24,5,2.0071201814058957,2.2070975056689344,0.7875,097,097.csv
5441,Bäder,d,25,5,2.207120181405896,2.2970975056689342,0.18098958333333334,097,097.csv
5442,Bäder,ɐ,26,5,2.2971201814058957,2.5370975056689344,0.3182291666666667,097,097.csv
5443,Messer,m,1,1,0.0,0.17709750566893423,0.26936141304347827,046,046.csv
5444,Messer,ɛ,2,1,0.1771201814058957,0.26709750566893425,0.3059895833333333,046,046.csv
5445,Messer,s,3,1,0.2671201814058957,0.40709750566893427,0.15104166666666666,046,046.csv
5446,Messer,ɐ,4,1,0.4071201814058957,0.5470975056689342,0.6371527777777778,046,046.csv
5447,und,ʔ,5,2,0.5471201814058957,0.5770975056689343,0.669921875,046,046.csv
5448,und,ʊ,6,2,0.5771201814058957,0.6570975056689342,0.75,046,046.csv
5449,und,n,7,2,0.6571201814058957,0.7170975056689343,0.4736328125,046,046.csv
5450,und,t,8,2,0.7171201814058957,0.7570975056689342,0.178125,046,046.csv
5451,Gabel,ɡ,9,3,0.7571201814058957,0.8570975056689343,0.13521634615384615,046,046.csv
5452,Gabel,aː,10,3,0.8571201814058957,1.0870975056689343,0.41998922413793105,046,046.csv
5453,Gabel,b,11,3,1.0871201814058957,1.1670975056689343,0.0609375,046,046.csv
5454,Gabel,ə,12,3,1.1671201814058958,1.3270975056689343,0.609765625,046,046.csv
5455,Gabel,l,13,3,1.3271201814058957,1.4470975056689341,0.3296875,046,046.csv
5456,liegen,l,14,4,1.4471201814058956,1.4870975056689342,0.2984375,046,046.csv
5457,liegen,iː,15,4,1.4871201814058956,1.6270975056689343,0.2660590277777778,046,046.csv
5458,liegen,ɡ,16,4,1.6271201814058958,1.6870975056689343,0.0009765625,046,046.csv
5459,liegen,ə,17,4,1.6871201814058956,1.7370975056689342,0.13616071428571427,046,046.csv
5460,liegen,n,18,4,1.7371201814058956,1.7770975056689342,0.246875,046,046.csv
5461,neben,n,19,5,1.7771201814058957,1.8570975056689343,0.271875,046,046.csv
5462,neben,eː,20,5,1.8571201814058957,2.0370975056689344,0.6491168478260869,046,046.csv
5463,neben,b,21,5,2.037120181405896,2.0670975056689342,0.091796875,046,046.csv
5464,neben,ə,22,5,2.0671201814058957,2.1070975056689343,0.1734375,046,046.csv
5465,neben,n,23,5,2.1071201814058957,2.217097505668934,0.06361607142857142,046,046.csv
5466,dem,d,24,6,2.2171201814058956,2.2670975056689344,0.23772321428571427,046,046.csv
5467,dem,eː,25,6,2.267120181405896,2.3370975056689343,0.6501736111111112,046,046.csv
5468,dem,m,26,6,2.3371201814058957,2.447097505668934,0.38169642857142855,046,046.csv
5469,Teller,t,27,7,2.4471201814058956,2.6070975056689343,0.154296875,046,046.csv
5470,Teller,ɛ,28,7,2.6071201814058957,2.697097505668934,0.4381510416666667,046,046.csv
5471,Teller,l,29,7,2.6971201814058956,2.7670975056689344,0.22395833333333334,046,046.csv
5472,Teller,ɐ,30,7,2.767120181405896,2.9770975056689344,0.07175925925925926,046,046.csv
5473,Durch,d,1,1,0.0,0.03709750566893424,0.0078125,119,119.csv
5474,Durch,ʊ,2,1,0.037120181405895694,0.06709750566893424,0.220703125,119,119.csv
5475,Durch,ɐ,3,1,0.06712018140589569,0.14709750566893423,0.78515625,119,119.csv
5476,Durch,ç,4,1,0.1471201814058957,0.23709750566893423,0.4915364583333333,119,119.csv
5477,den,d,5,2,0.2371201814058957,0.31709750566893424,0.20859375,119,119.csv
5478,den,eː,6,2,0.3171201814058957,0.3570975056689342,0.4453125,119,119.csv
5479,den,n,7,2,0.3571201814058957,0.44709750566893425,0.5201822916666666,119,119.csv
5480,ständigen,ʃ,8,3,0.4471201814058957,0.5670975056689342,0.3307291666666667,119,119.csv
5481,ständigen,t,9,3,0.5671201814058957,0.6170975056689343,0.044642857142857144,119,119.csv
5482,ständigen,ɛ,10,3,0.6171201814058956,0.7070975056689343,0.5123697916666666,119,119.csv
5483,ständigen,n,11,3,0.7071201814058957,0.7870975056689342,0.5546875,119,119.csv
5484,ständigen,d,12,3,0.7871201814058957,0.8170975056689342,0.591796875,119,119.csv
5485,ständigen,ɪ,13,3,0.8171201814058957,0.8770975056689342,0.1767578125,119,119.csv
